experiment,T_K,kT_over_lambda,E_per_site_eV,alpha_In_Cu,R_CuIn,mean_dQ2,acc_rate,max_cluster,mean_cluster
electrostatic_only,1300.0,0.3734177746866667,0.002774694188747723,-14.937499999999998,15.9375,0.007,0.0003295,160,160.0
electrostatic_only,1100.0,0.31596888627333336,0.002624694188747723,-14.989583333333332,15.989583333333334,0.0065,3.05e-05,160,160.0
electrostatic_only,950.0,0.27288221996333334,0.0027743995609222287,-14.937499999999998,15.9375,0.007,1.45e-05,160,160.0
electrostatic_only,850.0,0.24415777575666667,0.002624694188747723,-14.989583333333332,15.989583333333334,0.0065,1.5333333333333334e-05,160,160.0
electrostatic_only,773.0,0.22203995371753332,0.002624694188747723,-14.989583333333332,15.989583333333334,0.0065,6.4166666666666665e-06,160,160.0
electrostatic_only,700.0,0.20107110944666667,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,6.666666666666667e-06,160,160.0
electrostatic_only,640.0,0.18383644292266668,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,6.166666666666666e-06,160,160.0
electrostatic_only,573.0,0.1645910653042,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,5.916666666666667e-06,160,160.0
electrostatic_only,500.0,0.14362222103333333,0.002624694188747723,-14.989583333333332,15.989583333333334,0.0065,6.916666666666667e-06,160,160.0
electrostatic_only,450.0,0.12925999893,0.002624694188747723,-14.989583333333332,15.989583333333334,0.0065,7.416666666666667e-06,160,160.0
electrostatic_only,400.0,0.11489777682666666,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,5.75e-06,160,160.0
electrostatic_only,373.0,0.10714217689086668,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,4.833333333333333e-06,160,160.0
electrostatic_only,320.0,0.09191822146133334,0.0026245959794725586,-14.989583333333332,15.989583333333334,0.0065,5.583333333333333e-06,160,160.0
control,3000.0,inf,0.0006632484716646881,0.0625,0.9375,0.1585,0.9795180833333333,4,1.25
control,2400.0,inf,0.0006624151383313508,-0.04166666666666652,1.0416666666666667,0.156,0.9793566666666667,4,1.2307692307692308
control,2000.0,inf,0.0006625778567862548,0.01041666666666674,0.9895833333333334,0.159,0.97933175,4,1.28
control,1600.0,inf,0.0006627574252888713,0.16666666666666674,0.8333333333333334,0.163,0.9791113333333333,5,1.2903225806451613
control,1300.0,inf,0.0006628556345640373,-0.5625,1.5625,0.1545,0.97896925,6,1.3793103448275863
control,1100.0,inf,0.0006629369937914825,0.16666666666666674,0.8333333333333334,0.1635,0.9787730833333333,5,1.2903225806451613
control,950.0,inf,0.0006626760660614146,0.0625,0.9375,0.1615,0.9785176666666666,4,1.3114754098360655
control,850.0,inf,0.0006618427327280918,-0.04166666666666652,1.0416666666666667,0.156,0.9784738333333334,5,1.2403100775193798
control,773.0,inf,0.0006630520531143755,-0.19791666666666674,1.1979166666666667,0.159,0.9781619166666666,4,1.3559322033898304
control,700.0,inf,0.0006624964975588184,0.21875,0.78125,0.1605,0.9779779166666667,5,1.2307692307692308
control,640.0,inf,0.0006617445234529371,-0.09375,1.09375,0.155,0.97786675,4,1.2403100775193798
control,573.0,inf,0.0006622187197810516,0.11458333333333337,0.8854166666666667,0.1625,0.9775849166666667,3,1.2903225806451613
control,500.0,inf,0.000663804027220274,-0.25,1.25,0.157,0.97730375,5,1.322314049586777
control,450.0,inf,0.0006634448902150529,-0.09375,1.09375,0.159,0.9769855,6,1.322314049586777
control,400.0,inf,0.000661761373500669,-0.04166666666666652,1.0416666666666667,0.158,0.976473,5,1.28
control,373.0,inf,0.0006630520531144019,-0.25,1.25,0.1565,0.9763136666666666,6,1.3333333333333333
control,320.0,inf,0.0006659111901196279,0.32291666666666663,0.6770833333333334,0.1685,0.9757801666666667,5,1.3333333333333333
lambda_scan_573K,573.0,,,-0.059027777777777755,1.059027777777778,0.15933333333333333,,,lambda=0.0
lambda_scan_573K,573.0,,,-2.940972222222222,3.9409722222222228,0.12416666666666666,,,lambda=0.05
lambda_scan_573K,573.0,,,-14.677083333333334,15.677083333333334,0.009833333333333333,,,lambda=0.1
lambda_scan_573K,573.0,,,-17.246527777777775,18.24652777777778,0.008,,,lambda=0.15
lambda_scan_573K,573.0,,,-17.29861111111111,18.29861111111111,0.007666666666666666,,,lambda=0.2
lambda_scan_573K,573.0,,,-14.989583333333334,15.989583333333334,0.0065,,,lambda=0.25
lambda_scan_573K,573.0,,,-20.11111111111111,21.11111111111111,0.0095,,,lambda=0.3
lambda_scan_573K,573.0,,,-19.572916666666668,20.572916666666668,0.009166666666666665,,,lambda=0.4
lambda_scan_573K,573.0,,,-17.680555555555554,18.680555555555557,0.0085,,,lambda=0.5
